name,sku,description,price,original_price,buy_price,stock,images,keywords,category_name,parent_category_name,brand_name,is_featured,is_trending,is_best_selling,discount,status
"BRB Lovely Ceiling Fan 56""",,,"3300","3500",,"2","https://placehold.co/600x400?text=No+Image","fan|electronics","Fan","Electronics","BRB","TRUE","FALSE","FALSE","0","published"
"High Speed Fan with Blade",,,"420","450",,"20","https://placehold.co/600x400?text=No+Image","fan|blade","Fan","Electronics","SMT","FALSE","FALSE","FALSE","0","published"
"Matador Pinpoint Ball Point Pen",,,"6","6",,"0","https://placehold.co/600x400?text=No+Image","pen|matador","","Pen","Matadoor","FALSE","FALSE","FALSE","0","published"
"নববধূর উপহার",,,"360","600",,"3","https://placehold.co/600x400?text=No+Image","gift|islamic","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"আহকামে যেন্দেগী",,,"276","460",,"4","https://placehold.co/600x400?text=No+Image","islamic|book","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"আর রাহীকুল মাখতুুম",,,"400","950",,"2","https://placehold.co/600x400?text=No+Image","prophet|history","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"ফাতাওয়াযে রাহমানিয়া ২য় খন্ড",,,"220","520",,"1","https://placehold.co/600x400?text=No+Image","fatwa|islamic","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"ম্যাসেজ",,,"275","275",,"2","https://placehold.co/600x400?text=No+Image","islamic|book","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"আহ্বান",,,"270","270",,"2","https://placehold.co/600x400?text=No+Image","islamic|book","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"বেহেশতী জেওর ১",,,"200","285",,"5","https://placehold.co/600x400?text=No+Image","islamic|book","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"ওয়াজ ও খুতবা ১",,,"400","650",,"1","https://placehold.co/600x400?text=No+Image","lecture|islamic","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"রুহানী বার চাঁদের ৬০ খোতবা",,,"180","300",,"2","https://placehold.co/600x400?text=No+Image","khutbah|islamic","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"খোতবাতুল আহকাম",,,"200","250",,"5","https://placehold.co/600x400?text=No+Image","islamic|book","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"খোতবাতুল আহকাম বঙ্গানুবাদ",,,"200","250",,"2","https://placehold.co/600x400?text=No+Image","islamic|book","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"আহকামুন নিসা",,,"240","400",,"4","https://placehold.co/600x400?text=No+Image","women|islamic","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"আত্নার ব্যাধি ও প্রতিকার",,,"170","300",,"2","https://placehold.co/600x400?text=No+Image","heart|islamic","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"আহমদী বন্ধু!",,,"40","80",,"1","https://placehold.co/600x400?text=No+Image","islamic|book","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"নারী প্রজন্মের আনন্দ",,,"85","140",,"2","https://placehold.co/600x400?text=No+Image","women|happiness","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"মুনাজাতে মাকবুল ও হিজবুলে বাহার",,,"120","200",,"4","https://placehold.co/600x400?text=No+Image","dua|islamic","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
"ক্রোধ দমন ও অহংকারের প্রতিকার",,,"60","100",,"4","https://placehold.co/600x400?text=No+Image","character|islamic","Islamic Book","Islamic Item",,"FALSE","FALSE","FALSE","0","published"
